clump,Total Number of Seals,width,height,avg_r,sd_r,avg_g,sd_g,avg_b,sd_b
LS21323_DJI_0001_clump_0001,2,222,160,148.96846846846800,8.861152678040270,150.97291666666700,10.472846627973500,144.78333333333300,35.44882212768490
LS21323_DJI_0001_clump_0002,8,400,244,128.905,16.282484710059900,133.30464480874300,25.47620405321940,125.68554303278700,27.45158965529420
LS21323_DJI_0001_clump_0003,9,324,314,129.43312757201600,18.470492909646200,148.5,10.585888736412400,136.5476429189270,32.81027050035400
LS21323_DJI_0001_clump_0004,2,248,160,138.18548387096800,11.643009995491600,132.25416666666700,17.45738810090320,139.23959173387100,29.105455681678600
LS21323_DJI_0001_clump_0005,2,162,238,127.63168724279800,9.23727820712603,120.8655462184870,9.841680389085850,127.14724037763300,25.308669786766000
LS21323_DJI_0001_clump_0006,4,264,250,128.40277777777800,15.097181567228000,144.784,24.692320209598200,132.9960303030300,30.121217469041000
LS21323_DJI_0001_clump_0007,2,196,198,143.7874149659860,15.893053870946600,149.6060606060610,7.7291936610183000,144.24799010513300,33.514355151441800
LS21323_DJI_0001_clump_0008,2,206,250,121.94660194174800,18.614868516246600,136.71733333333300,19.562960739338200,135.68677669902900,33.33897581869390
LS21323_DJI_0001_clump_0009,2,290,118,125.7022988505750,10.24593529735500,136.28531073446300,8.570443167648030,128.13842781998800,25.547444584972300
LS21323_DJI_0001_clump_0010,2,188,170,121.36524822695000,10.317027760833800,124.47843137254900,11.366726704323500,128.76157697121400,29.07764260803860
LS21323_DJI_0001_clump_0011,3,214,238,122.04984423676000,8.866648366026810,109.60504201680700,15.42146553437530,111.47274797769600,18.73720573154570
LS21323_DJI_0001_clump_0012,2,136,204,131.81127450980400,14.749914268382900,129.7140522875820,9.145426296300070,125.80911188004600,18.212947899325900
LS21323_DJI_0001_clump_0013,1,170,166,124.4,18.099095416676500,111.32128514056200,7.872298335260000,116.68706591070200,16.89428870219980
LS21323_DJI_0001_clump_0014,3,266,352,126.04260651629100,12.326111381027700,127.15530303030300,18.816008313337000,123.13578691045800,24.32117736757740
LS21323_DJI_0001_clump_0015,2,172,158,137.4593023255810,11.231025803483900,137.35021097046400,9.999774784268000,136.77605239917600,27.812296017980600
LS21323_DJI_0001_clump_0016,2,222,148,133.54204204204200,8.324799488321330,142.70945945945900,8.948239581040940,126.86973459946400,26.14151988870820
LS21323_DJI_0001_clump_0017,2,196,124,149.15986394557800,40.168119757830900,135.6720430107530,11.79005290229910,139.42486833443100,37.0273465352415
LS21323_DJI_0001_clump_0018,4,290,404,119.24942528735600,11.11718534587480,125.40346534653500,16.56215678878580,121.15090474564700,17.86942367641690
